content_stem,score,label
senang pake alplikasi turbo vpn sampe moga sukses,5,Positif
apk sampah jaring lot iklan mana iya maklum iklan yoo jaring astaghh susah banget nonton live streaming aja kualitas mentok 240p itu banyak mutar nya kualitas 144p aja suka loading banding apk vpn yg wow pake nonton banget tembus 1080p lancar banget gak tuh jaring mutar nyesel banget download aplikasi vpn rekomendasi,1,Negatif
mudah n koneksi cpt dgn vpn,5,Positif
update optimal koneksi cuman yaaa gimana yaaa koneksi tambah buruk cepat mendownload meng upload file percaya apk sekian terimakasih alih apk,1,Negatif
apk nya jelek banget main game nggk sambung pas mati in vpn nya sambung,1,Negatif
coba mudah2 an cepat lancar,4,Positif
main ml jelek main game aja bagus kagak pakai ni aplikasi jelek jaring main game kagak bagus2nya nggak lancar buruk saran yg main game hapus aja,1,Negatif
mantaf bantu perangkat yg lot ga jalan,5,Positif
lumayan iklan gak,5,Positif
bagus nelpon wa negara lancar pake thank s,5,Positif
mantap tpi cepat baik ya pokok oke best,5,Positif
bantu mada jaring lemah mebuka situs kunci pokok nya good,5,Positif
parah banget sinyal nya ga cepat banget,1,Negatif
vpn bagus iklan tolong makan kuota sukses depa,5,Positif
vpn baik batas speed internet vpn belah aplikasi recommended terimakasih,5,Positif
bagus apk nya dpt bantu buka situs2 yg suka error mantap,5,Positif
aplikasi yg lumayan bantu optimal browsing tp tingkat,4,Positif
langgan premium 30 april 2024 3 3 mei 2024 akun premium,1,Negatif
aplikasi bagus lancar cepat pokok mantap brooooo,5,Positif
percaya bukti jaring lancar jga engk bnyk iklan pokok good,4,Positif
jjr ny bagus smakin jlk bgt vpn ny suka klo ngak ya lelet beda sma,1,Negatif
bantu kalo download film telegram gabisa lot pake langsung lancar,5,Positif
guna masuk situs yg susah akses kadang suka error,5,Positif
bagus apk ringan jaring cepat gak iklan,5,Positif
mantep lahhh sih kayak premium heheh,4,Positif
iklan ganggu lag oke pokok,5,Positif
manfaat jaring josss anti lelet kalo pake apk,5,Positif
turbo vpn buka situs video bokep asli indonesia,5,Positif
hambat jaring baik vpn turbo atas,5,Positif
ko gk hubung min udh utak atik tetep gk udh hapus download ulang ttp gk,1,Negatif
jaringanya lalot si guna,4,Positif
kalo sih kasi yg yg jangkau koneksi nya biar cari situs yg bagus,5,Positif
lumayan cuy situs download musik y2mate kominfo internet,5,Positif
bagus terkadang sinyal gak stabil mohon baik,5,Positif
aplikasi bagus bantu ygagak sinyal wifi rumah orang tua yg beda rumah,5,Positif
gratis koneksi nya cepat server jangkau,5,Positif
mantaaaap turbo lancar lebih biar bintang bicara,5,Positif
mantap cuman iklan gak apa nama gerat poko baiik bantu,5,Positif
kualitas jaring buruk,1,Negatif
bagus iklan jg gk menganggu the best pokok,5,Positif
pokok keren nih app turbo vpn bantu saat jaring wifi kendala,5,Positif
tolong baik iklan hp lot udh gitu jaring jga lot tolong yaaa,2,Negatif
markotop kotop lanjut tingkat only you the best,5,Positif
kurang iklan bagus kadang lot jg sih,5,Positif
apk nya ome tv pas udah nyambung udah main ome gabisa indo,5,Positif
bagus link yg belokir buka bantu terimakasih turbo vpn,5,Positif
aplikasi bagus suka macet jalan lancar pokok mantap,5,Positif
mantap sya kasih bintang 5 tpi kadang lelet moga maksimal,5,Positif
muas iklan nya tlong kurang,5,Positif
lumayan iklan kalo pas buka gak muncul iklan kasih bintang 5,2,Negatif
jaring lelet bintang 3 aja dlu klo jaring sinyal bagus jasih bintang 5,3,Netral
sumpah apl nya bagus banget vpn nya cepet lancar premium,5,Positif
terimakasih bantu tonton sepakbola langgan,5,Positif
poko top markotop bantu akses susah akses,5,Positif
mmbantu mmbuka aplikasi susah buka tolong tingkat koneksi mkaasihh,5,Positif
4 bintang ya nya nyoba tp sdh bagus tdk eror tambahin 5 karna lm instal lngsung eror,4,Positif
aplikasi bagus sayang sinyal lambat,5,Positif
kasih bintang 4 mudah2an turbo vpn depan lancar lelet,4,Positif
mantap jaring super cepat mudah,5,Positif
apl turbo vpn bagus seh gw kasih saran iklan nya menggangu,5,Positif
ane pakai vpn belah ttp tdak muas tpi admin ane muas bantu ane baca komik makasih admin kontribusi,5,Positif
apk nya lumayan bagus top kembang biar yg suka ok trima kasih moga sukses,5,Positif
          100  ,5,Positif
bantu masuk situs yg susah akses mantap,5,Positif
guna tambah kuat jaring lancar,5,Positif
udah lumayan bagus coba kurang iklan yg durasi,1,Negatif
aplikasi bagus engga ribet kalo engga iklan kasih bintang 5,3,Netral
maaf turbo vpn anak salah tekan langgan dana pakai langgan aplikasi turbo vpn batal langgan nya aplikasi turbo vpn kembali dana,5,Positif
mantap hambat yg terima kasih kembang nya sukses,5,Positif
bagus tahan iklan nya kurang,5,Positif
lumayan bagus sih kendala lot ya klau baik sdkit,4,Positif
bantu kadang koneksi putus,5,Positif
guna kreator guna foto video bagus,5,Positif
bantu pakai apl bintang tbahkan terimakasih,5,Positif
iklan butuh ngakalin 1text,2,Negatif
aplikasi yamg mudah guna praktis n gak ribet,5,Positif
tambah tahu situs akses server negeri,5,Positif
bagus aplikasi cepat buka situs yg blokir mantap poko,5,Positif
guna nya simpel cepat lancar,5,Positif
poko cakep ga kendala iklan,5,Positif
tolong diperbaikin vpn nya biar pas main,5,Positif
mas muda nya pahala yg in dosa ngomong aplikasi nya bagus kasi bintang 4 ya,4,Positif
iklan hilang,5,Positif
bgs nich aplikasi kadang lot jg trs tingkat kualitas nya,4,Positif
turbo vpn top banget jaring mulus,5,Positif
aq suka aplikasi tpi yg aq gk neng jaring nya hilang,5,Positif
mudah jajah situs yg blokir sinyal lancar,5,Positif
manfaat tolong rang iklan nya,5,Positif
mantap binasa dah,5,Positif
sifat aplikasi yg canggih cepat,5,Positif
super cepat manfaat buka aplikasi situs yg blokir,4,Positif
yg jls y turbo vpn oke mantap smga aplikasi y lancar trs,5,Positif
sinyal bagus negara,5,Positif
turbo vpn secure vp sanggatt bagus tambah tahu ilmu sanggat guna,5,Positif
aplikasi cepat mudah cari video,5,Positif
aplikasi nya lumayan lot tolong baik,3,Netral
main game buruk koneksi ny,2,Negatif
otomatis langsung aktif terima kasih aplikasi,5,Positif
iklan iklanya banyak,2,Negatif
nya suka putus2 vpn nya 20 menit jalan bagus tiba2 ganti lokasi ganti lokasi baik kasih 1 bintang kasih 5 bintang,1,Negatif
komentar vpn mts vpn baik 2015 an pakai turbo vpn bagi keren pengin luas pakai premium langgan pilih uji coba pokok keren turbo vpn makasih,5,Positif
koneksi cepat ribet iklan wajar nama gratis iklan ya bayar terimakasih aplikasi boss sukses,5,Positif
langgan aplikasi saldo dana potong no mal aplikasi kembali saldo dana langgan sah,1,Negatif
bagus otomatis pilih lokasi ramban full durasi nya vpn maksimal 1 jam,5,Positif
iklan sinyal lot dh kayak paksa premium,1,Negatif
senang web situs yg nya ga jangkau karna pakai aplikasi harap kembang update aplikasi bagus mudah yg pakai nya semangat kawan kerja putus asa hati yg sebab mulut mulut yg tdak dngar orng yg kenal yg kenal dri lingkung yg nilai mna yg mulut,5,Positif
tahan ya bgusnya mohon tingkat depan,5,Positif
bantu penuh kuat jaring wifi,5,Positif
bagus segi lancar kenceng kadang iklan nya bikin eror kalo depan baik kasih bintang,4,Positif
aplikasi bagus situs internet mudah buka lancar lancar jaring,5,Positif
bagus tolong iklan nya rang meganggu tingkat sukses terimakasih,4,Positif
lancar moga tambah dg fitur terjemah sesuai negara guna pengupload video bokep barat nya subtitle terjemah donk,5,Positif
bantu buka link d blok sukses apk nya gbsa download d situs rangin 1 nnti klo bsa download lg sya tmbh lg bntangnya trims,4,Positif
moga aplikasi turbo vpn bantu browsing jaga website kunjung amin sukses turbo vpn turbo vpn lite,5,Positif
bagus bagus sih tpi msi butuh agret sya brikn 4 bntng dlu nya msi lgi yg baik sprti putus nya koneksi msih lambat iklan trllu,4,Positif
bagus buka arsip sejarah papua sembunyi indonesia vpn situs2 negeri merespon kondisi papua barat,5,Positif
sy rubah nilai bintang 2 karna respon positif aplikasi kali sy coba mendownload aplikasi sy trimaksih,2,Negatif
tipu coba free premium minggu batal jatuh tempo saldo e wallet potong krn premium 1,1,Negatif
buruk gak buka koneksi lambat,1,Negatif
lumayan kadang error nya,5,Positif
bagus tolong rang iklan nya,5,Positif
bagus cuman iklan nya,3,Netral
maff buang bintang nya delete karna sanga kesal tiba2 koneksi nya non aktif apk ga apk kayak gin,1,Negatif
mudah guna iklan recomended,5,Positif
mantap mudah jaring stabil,5,Positif
ribet pakai iklan,1,Negatif
lengkap premium ny a lengkap fitur server nya d makasih turbo vpn d,5,Positif
teliti baca aplikasi kumpul data guna apk beri tiga teman teman bijak apk langsung download,2,Negatif
oke sih masuk susah iklan,4,Positif
baguss kualitass sinyal ok rekomen banget,5,Positif
aplikasi performa bagus koneksi,5,Positif
bagus sedot data nya rang ya,5,Positif
koneksi bayar moga depan,5,Positif
mudah koneksi nya servernya,5,Positif
aplikasi bagus kuota ajar kuota utama nya gampang,5,Positif
mantap kadang gk nyambung ulang bbrapa kali,5,Positif
kacau nya iklan,1,Negatif
vpn mmang bagus sy pakai dr versi yg,5,Positif
bagus terlau iklan cepat,5,Positif
mantap ga nyesel douwload aplikasi iklan nya jarang,5,Positif
cepat jaringanx mantap lanjut,5,Positif
cepat simple ga ribet,5,Positif
suka tingkat cepat,5,Positif
kadang lancar kadang ngelek x tp daya nama jg gratis,5,Positif
mantap keren tolong putus putus koneksi nya,5,Positif
aplikasi buka unjung website suka x twitter lihat donwload video motivasi pagi p ajar biologi rekomendasi 5 5,5,Positif
bagus efektif oprasional,5,Positif
apk nya mantap sih pindah server pake akun bot,5,Positif
fk udh bayar langgan biar gaada iklan kenceng slow speed mulu sampe suruh ganti lokasi gaada respon feedback,1,Negatif
wow aja yg gua komen mantap bgt koneksi nya,5,Positif
cepat ringan mantap,5,Positif
bantu tpi kurang iklan donk,5,Positif
aplikasi tdk pakai hy iseng uang dana potong langgan akun aplikasi aja tdk aplikasi curi uang tuju uang i ambil konfirmasi aplikasi sesat tipu,1,Negatif
cobak aj dlu ap aklsi tahan gitu low bagus cok reting kitto fot iklan,5,Positif
turbo vpn parah koneksin sebentar kuawalahan bulak buka jaring vpn mohon yg appk tolong baik guna vpn nyaman,1,Negatif
bagus tingkat cepat privasi yg bagus,4,Positif
sial banget pake vpn coba pake yg lancar,1,Negatif
ttp tahan iklan udh,5,Positif
bantu tolong baik nya d buka,3,Netral
mantab turbo vpn yg,5,Positif
baik moga negara yg pilih mengjasilkan hasil game turbo vpn secure maju ya,5,Positif
aplikasi buka isi yg baik nya dgn kecewa bintang 2,2,Negatif
lumayan cepat koneksi aman mantap pokok,5,Positif
sanga proposinal sy meggunakan vpn tpi saldo dana sy potong rp 220800 alas bertransasi google,1,Negatif
dear developer innovative connecting aplikasi turbo vpn secure vpn proxy bagus tolong tambah fitur guna aplikasi,5,Positif
aplikasi bagus ngga iklan,5,Positif
bagus bngt bantu yg negri,5,Positif
bagus ga ribet freenya jalan moga aman,5,Positif
mantap mudah operasi nya,5,Positif
si bagus moga bagus buffering terima kasih,5,Positif
aplikasi bantu main game nonton bola,5,Positif
lumayan daerah sinyal yg stabil,5,Positif
bantu akses sinyal bagus,5,Positif
coba mudah mudah aplikasi bagus,5,Positif
vpn jalan loading cepat siput app browser google stress tolong benar plz,2,Negatif
suka apk tingkat cepat,4,Positif
vpn bagus bantu app rumit,5,Positif
mantap iklan nya,5,Positif
bantu butuh yg sipat privasi,5,Positif
keren mantab cepat koneksi,5,Positif
bingung y bintang4 bagus full 5 bintang,5,Positif
aplikasi nya lumayan bagus bantu jaring nya lelet bantu kasih bintang 4,4,Positif
cepat lelet mantap,5,Positif
bagus tolong optimal berat buka browser,5,Positif
mati mulu koneksi,5,Positif
cari vidio,5,Positif
aplikasi vpn bagus browsing internet lancar download cepat two thumbs up for turbo vpn,5,Positif
terkadang lot terkadang cepat iklan maka gratis langgan bagus,4,Positif
4 ya kalo emang bukti kencang stabil hemat masalah koneksi nya tambahin ok,4,Positif
lelet koneksi gk stabil susah utk unduh,2,Negatif
aplikasi manfaat unt bantu situs yg buka,5,Positif
koneksi lambat sulit koneksi,1,Negatif
bantu iklan menggangu top,5,Positif
mantap aplikasi dpt premium gratis 7 guna,5,Positif
aplikasi bagus andal cari situs situs blokir pusat,5,Positif
mantap ni aplikasi buka situs yg blok,5,Positif
apl yg bagus iklan,5,Positif
mantap buka sembunyi gagal nya suka ilang,5,Positif
lumayan cepat ganggu,5,Positif
bagus cocok main game tolong baik kadang putus sendri mohon baik terimakasih,5,Positif
terkadang asik nonton mala macet gk muter lg film nya,5,Positif
app bagus situs kunci buka,5,Positif
apk ni keren bgt sangqn guna buka web yg jangkau tengkiyu,5,Positif
bagus dapat sinyal cepat,4,Positif
sdh bagus iklan,3,Netral
sederhana gampang,5,Positif
aplikasi bagus patok langgan,3,Netral
mantap tp iklan nya rangin,5,Positif
bantu appnya,5,Positif
aplikasi nya bgus cepat sngat suka sngat bermnfaat aplikasi nya,5,Positif
bincang cakap,5,Positif
turbo vpn bantu saksi tayang gratis,5,Positif
4dulu mo nyoba kl bagus ane kl jelek ane un instal,4,Positif
apk sampah kali gue pake aja hp gue lot virus nya tolong baik,1,Negatif
sederhana gak ribet pakai nya,5,Positif
turbo vpn emang apl yg pokoke mantap bestieeee,5,Positif
lumayan bagus akses situs yg blokir lamban mohon depan kelinci yg lancar lari tks,4,Positif
mantap apk bantu kuat jaring,5,Positif
da mnggunsksn aplikasi mmbantu cepat proses,5,Positif
mantap app bagus yg blok buka,5,Positif
lancar jaya banyk iklan aja ribet,5,Positif
banyak iklan,5,Positif
mintak tlng jaring tingkat,5,Positif
vpn cepat mudah,5,Positif
aplikasi bagus jaring internet nya bagus,5,Positif
pantengin ama kuatin lg sinyal donk klo sinyal bagus lg bintang puuulll,3,Netral
apikasinya tarik guna kalo,5,Positif
mudah alat mbokeb,5,Positif
tolong kdang putus koneksi,5,Positif
klo perlu web kampus e down pake cepet,5,Positif
sayang iklan,5,Positif
kaut sinyal game,5,Positif
aplikasi vpn yg bgus sngt mantul,5,Positif
mantap jaring bagus super cepat,5,Positif
bagus bantu pakai apk,5,Positif
bagus sesuai dgn tqpi bagus lgi biar minjadi is the best vpn baik,5,Positif
aplikasih turbo vpn 2 bantu mantap,5,Positif
aplikasi releven tampa lelet,5,Positif
delete download delete download speak kapasitas hape lot alias nanggung gak aplikasi sajah yg sayah percaya no ngeluh no ngeleak,5,Positif
susah menyanbung vpnnya tiba2,3,Netral
bagus sayang iklan nya ganggu,5,Positif
aplikasi bagus karna loginnya cepat jaring lelet,5,Positif
kren bantu tingkat jaring,5,Positif
ampas kalo nambahin fitur mikir apk rusak non fungsional,1,Negatif
sayang iklan,5,Positif
aplikasi bantu lai batas,5,Positif
muas anti lemotmantap donlot aplikasi kawan jamin mantap tinggal ketik langsung muncul mantapppp okeh kawan trimakasih,5,Positif
mantap klu kcepatan nya,5,Positif
iklan loading,5,Positif
fungsi atas buka website batas vpn,5,Positif
aplikasi bagus bantu selancar,5,Positif
baik lot,4,Positif
apk nya bagus cuy jdi buka web yg gk buka jdi buka,5,Positif
bagus bukti cepat loading,4,Positif
lumayan cepat gercep gitu loh,5,Positif
suka apk main game jd ga da ganggu,5,Positif
vpn turbo yg pake sngtlah bgs cepat gk lelet good luck,5,Positif
udah oke banget cuman iklannyah,4,Positif
susah koneksi nya skrng knp ya turun,3,Netral
lumayan tetapibanyak iklan,5,Positif
iklan nya buka langsung iklan,3,Netral
tau mudah mudah bagus kualitas,5,Positif
lancar gk lot sukses sllu,5,Positif
nya downloadtan lat pakai vpn turbo sinyal cepat,1,Negatif
pvn putus otomatis hubung putus,2,Negatif
lancar sih tp server nya,5,Positif
kadang2 jeda lancar,5,Positif
oke mantap bantu link blokir nonton b p,5,Positif
bantu tpi sayang loading mulu,3,Netral
bagus cocok buka web yg buka,5,Positif
aqu suka appn sangat2 batu hp qu trimakasih appn nya,5,Positif
bagus lancar sayang gakbisa donload,5,Positif
mantap daerah yg sinyal sulit,5,Positif
jaring maksimal mantap,5,Positif
bagu i iklan nya,5,Positif
oky beyarpun gerat iklan,5,Positif
